,College Name
FALSE,"International Institute of Information Technology, Hyderabad"
FALSE,"Netaji Subhash Institute of Technology, Delhi"
FALSE,"VIT University, Vellore"
FALSE,"Manipal Institute of Technology, Manipal"
FALSE,"Lovely Professional University, Phagwara"
FALSE,"Amrita School of Engineering, Coimbatore"
FALSE,"Alliance College of Engineering and Design, Bangalore"
FALSE,"Faculty of Engineering and Technology, Manav Rachna International University, Faridabad"
FALSE,"GITAM University, Visakhapatnam"
FALSE,"BS Abdur Rahman University, Chennai"
FALSE,"Amrita School of Engineering, Bengaluru"
FALSE,"School of Engineering and Technology, Jain University, Bangalore"
FALSE,"Vivekananda Global University, Jaipur"
FALSE,"CMR College of Engineering and Technology, Hyderabad"
FALSE,"Amritsar College of Engineering and Technology, Amritsar"
FALSE,"GITAM Institute of Technology, Visakhapatnam"
FALSE,"IEC College of Engineering and Technology, Greater Noida"
FALSE,"Sarvottam Institute of Technology and Management, Greater Noida"
FALSE,"Ambalika Institute of Management And Technology, Lucknow"
FALSE,"Quantum School of Technology, Roorkee"
FALSE,"Axis Institute of Technology And Management, Kanpur"
FALSE,"DPG Institute of Technology and Management, Gurgaon"
FALSE,"Galaxy Global Group of Institutions, Ambala"
FALSE,"RNB Global University, Bikaner"
FALSE,"JB Institute of Technology, Dehradun"
FALSE,"Presidency University, Bangalore"
FALSE,"Apex Group of Institutions, Sitapura, Jaipur"
FALSE,"Indian Institute of Technology, Delhi"
FALSE,"Indian Institute of Technology, Kharagpur"
FALSE,"Indian Institute of Technology, Bombay"
FALSE,"Indian Institute of Technology, Madras"
FALSE,"Indian Institute of Technology, Kanpur"
FALSE,"SRM University, Chennai"
FALSE,"National Institute of Technology, Warangal"
FALSE,"Delhi Technological University, Delhi"
FALSE,"Indian Institute of Technology, Roorkee"
FALSE,"Birla Institute of Technology and Science, Pilani"
FALSE,"College of Engineering, Pune"
FALSE,"National Institute of Technology, Calicut"
FALSE,"Indian Institute of Technology, Banaras Hindu University, Varanasi"
FALSE,"Indian Institute of Technology, Hyderabad"
FALSE,"Punjab Engineering College University of Technology, Chandigarh"
FALSE,"Indian Institute of Technology, Guwahati"
FALSE,"Indian School of Mines, Dhanbad"
FALSE,"International Institute of Information Technology, Bangalore"
FALSE,"Indian Institute of Technology, Patna"
FALSE,"National Institute of Technology, Silchar"
FALSE,"Indian Institute of Technology, Ropar"
FALSE,"Osmania University, Hyderabad"
FALSE,"ICFAI Foundation for Higher Education, Hyderabad"
FALSE,"Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore"
FALSE,"National Institute of Technology, Tiruchirappalli"
FALSE,"Motilal Nehru National Institute of Technology, Allahabad"
FALSE,"Indian Institute of Science, Bangalore"
FALSE,"Netaji Subhas Institute of Technology, Delhi"
FALSE,"National Institute of Technology, Surathkal"
FALSE,"Visvesvaraya National Institute of Technology, Nagpur"
